"","all_trips_v2$usertype","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","Customer","Sunday",3559.29559221654
"2","Subscriber","Sunday",927.271569278366
"3","Customer","Monday",3359.60765486557
"4","Subscriber","Monday",845.879906587824
"5","Customer","Tuesday",3562.154743774
"6","Subscriber","Tuesday",829.832081690847
"7","Customer","Wednesday",3702.90077517747
"8","Subscriber","Wednesday",813.802036349045
"9","Customer","Thursday",3803.11914885558
"10","Subscriber","Thursday",811.865637769994
"11","Customer","Friday",3768.99804418862
"12","Subscriber","Friday",825.561592859568
"13","Customer","Saturday",3339.91829671145
"14","Subscriber","Saturday",973.591385174002
